## 训练轨迹跟踪任务

[08437760] reward=137.7 completion=94.0% | SUCCESS:85%, DEVIATE:11%, CRASH:4%
[08519680] reward=139.3 completion=94.2% | DEVIATE:8%, SUCCESS:86%, CRASH:4%, TIMEOUT:2%
[08601600] reward=139.9 completion=95.5% | SUCCESS:88%, CRASH:6%, DEVIATE:6%
[08683520] reward=145.5 completion=97.8% | SUCCESS:92%, DEVIATE:8%
[08765440] reward=138.0 completion=94.3% | SUCCESS:86%, DEVIATE:9%, CRASH:5%
[08847360] reward=147.7 completion=98.0% | SUCCESS:93%, DEVIATE:7%
[08929280] reward=146.7 completion=96.8% | SUCCESS:93%, DEVIATE:7%
[09011200] reward=138.9 completion=95.3% | DEVIATE:11%, SUCCESS:87%, CRASH:2%
[09093120] reward=149.0 completion=97.2% | SUCCESS:94%, TIMEOUT:1%, DEVIATE:4%, CRASH:1%
[09175040] reward=142.0 completion=96.2% | SUCCESS:90%, DEVIATE:9%, CRASH:1%
[09256960] reward=135.8 completion=94.4% | SUCCESS:85%, CRASH:3%, DEVIATE:11%, TIMEOUT:1%
[09338880] reward=144.8 completion=97.5% | SUCCESS:92%, DEVIATE:8%
[09420800] reward=144.1 completion=96.5% | SUCCESS:91%, DEVIATE:8%, TIMEOUT:1%
[09502720] reward=131.0 completion=94.3% | DEVIATE:14%, SUCCESS:82%, CRASH:3%, TIMEOUT:1%
[09584640] reward=141.3 completion=96.2% | SUCCESS:89%, DEVIATE:10%, CRASH:1%
[09666560] reward=138.3 completion=96.2% | SUCCESS:87%, DEVIATE:11%, CRASH:2%
[09748480] reward=140.7 completion=96.6% | SUCCESS:89%, DEVIATE:6%, CRASH:5%
[09830400] reward=143.8 completion=97.3% | SUCCESS:91%, CRASH:4%, DEVIATE:5%
[09912320] reward=147.4 completion=97.4% | DEVIATE:5%, SUCCESS:93%, CRASH:1%, TIMEOUT:1%
[09994240] reward=145.5 completion=97.2% | SUCCESS:93%, DEVIATE:4%, CRASH:3%
[10076160] reward=141.9 completion=96.5% | SUCCESS:91%, DEVIATE:8%, CRASH:1%
[10158080] reward=139.9 completion=96.3% | SUCCESS:90%, DEVIATE:10%
[10240000] reward=142.4 completion=97.4% | SUCCESS:91%, DEVIATE:7%, CRASH:2%
[10321920] reward=134.9 completion=95.6% | SUCCESS:85%, DEVIATE:13%, TIMEOUT:2%
[10403840] reward=135.7 completion=94.3% | SUCCESS:88%, CRASH:2%, TIMEOUT:1%, DEVIATE:9%
[10485760] reward=139.6 completion=95.2% | SUCCESS:90%, DEVIATE:10%
[10567680] reward=144.9 completion=97.5% | SUCCESS:93%, DEVIATE:5%, CRASH:1%, TIMEOUT:1%
[10649600] reward=146.6 completion=96.7% | SUCCESS:95%, DEVIATE:4%, CRASH:1%
[10731520] reward=143.9 completion=97.3% | SUCCESS:93%, CRASH:2%, DEVIATE:5%
[10813440] reward=140.7 completion=96.3% | DEVIATE:7%, SUCCESS:91%, CRASH:2%
[10895360] reward=139.7 completion=95.9% | SUCCESS:91%, DEVIATE:7%, CRASH:2%
[10977280] reward=139.2 completion=95.8% | DEVIATE:7%, SUCCESS:90%, CRASH:3%
[11059200] reward=143.0 completion=97.7% | SUCCESS:92%, CRASH:3%, DEVIATE:5%
[11141120] reward=144.0 completion=97.7% | SUCCESS:95%, DEVIATE:5%
[11223040] reward=142.8 completion=96.6% | SUCCESS:93%, DEVIATE:5%, TIMEOUT:1%, CRASH:1%
[11304960] reward=142.3 completion=97.4% | SUCCESS:93%, DEVIATE:5%, TIMEOUT:1%, CRASH:1%
[11386880] reward=144.5 completion=97.9% | SUCCESS:94%, DEVIATE:6%
[11468800] reward=130.4 completion=93.8% | DEVIATE:14%, SUCCESS:84%, CRASH:2%
[11550720] reward=136.7 completion=95.8% | SUCCESS:89%, DEVIATE:9%, CRASH:2%
[11632640] reward=130.8 completion=93.9% | SUCCESS:84%, DEVIATE:14%, TIMEOUT:1%, CRASH:1%
[11714560] reward=140.0 completion=97.4% | SUCCESS:91%, DEVIATE:8%, CRASH:1%
[11796480] reward=138.5 completion=97.2% | SUCCESS:90%, DEVIATE:10%
[11878400] reward=118.6 completion=90.6% | SUCCESS:77%, DEVIATE:21%, CRASH:2%
[11960320] reward=134.0 completion=95.3% | SUCCESS:88%, DEVIATE:11%, CRASH:1%
[12042240] reward=142.9 completion=97.9% | SUCCESS:93%, CRASH:2%, DEVIATE:5%
[12124160] reward=140.7 completion=97.8% | DEVIATE:6%, SUCCESS:92%, CRASH:2%
[12206080] reward=137.1 completion=96.1% | SUCCESS:89%, DEVIATE:10%, CRASH:1%
[12288000] reward=134.2 completion=94.8% | SUCCESS:88%, DEVIATE:10%, TIMEOUT:1%, CRASH:1%
[12369920] reward=138.5 completion=96.0% | SUCCESS:92%, DEVIATE:8%
[12451840] reward=141.0 completion=97.4% | SUCCESS:93%, DEVIATE:6%, CRASH:1%
[12533760] reward=138.5 completion=96.3% | SUCCESS:91%, DEVIATE:9%
[12615680] reward=142.4 completion=98.2% | SUCCESS:94%, DEVIATE:5%, CRASH:1%
[12697600] reward=140.2 completion=96.4% | SUCCESS:91%, DEVIATE:6%, TIMEOUT:3%
[12779520] reward=140.5 completion=96.9% | SUCCESS:94%, DEVIATE:6%
[12861440] reward=133.2 completion=95.4% | SUCCESS:88%, DEVIATE:11%, TIMEOUT:1%
[12943360] reward=143.5 completion=98.7% | SUCCESS:96%, CRASH:1%, DEVIATE:3%
[13025280] reward=134.4 completion=94.6% | SUCCESS:89%, DEVIATE:9%, CRASH:2%
[13107200] reward=141.1 completion=98.0% | SUCCESS:94%, DEVIATE:6%
